"FunCat","Regulon","Operon","SACOL.numbers","USA300.numbers","Gene.symbol","log2.fold.change","Fold.change","Function"
"Cell wall biosynthesis","GraRS","mtlF mtlR mtlA mtlD","SACOL2148","USA300HOU_2148","mtlA",1.99,3.98,"PTS system, mannitol-specific IIA component"
"Cell wall biosynthesis","GraRS","mtlF mtlR mtlA mtlD","SACOL2149","USA300HOU_2149","mtlD",2.36,5.14,"mannitol-1-phosphate 5-dehydrogenase"
"Cell wall biosynthesis","GraRS","mtsA mtsB mtsC SACOL2710","SACOL2707","USA300HOU_2685","mtsC",2.56,5.9,"cobalt (Co2 ) ABC superfamily ATP binding cassette transporter, membrane protein"
"Cell wall biosynthesis","GraRS","mtsA mtsB mtsC SACOL2710","SACOL2708","USA300HOU_2686","mtsB",3.12,8.68,"cobalt ABC transporter ATPase"
"Cell wall biosynthesis","GraRS","mtsA mtsB mtsC SACOL2710","SACOL2709","USA300HOU_2687","mtsA",3.36,10.28,"hypothetical protein"
"Cell wall biosynthesis","GraRS","mtsA mtsB mtsC SACOL2710","SACOL2710","USA300HOU_2688","USA300HOU_2688",3.36,10.25,"hypothetical protein"
"Cell wall biosynthesis","GraRS","murI rdgB SACOL1163","SACOL1163","USA300HOU_1088","USA300HOU_1088",1.89,3.71,"hypothetical protein"
"Cell wall biosynthesis","GraRS","murI rdgB SACOL1164","SACOL1162","USA300HOU_1087","rdgB",1.92,3.78,"deoxyribonucleotide triphosphate pyrophosphatase"
"Cell wall biosynthesis","GraRS","murI rdgB SACOL1165","SACOL1161","USA300HOU_1086","murI",1.89,3.7,"glutamate racemase"
"Cell wall biosynthesis","GraRS","mutSL glpP","SACOL1315","USA300HOU_1227","mutS",-1.61,0.33,"DNA mismatch repair protein MutS"
"Cell wall biosynthesis","GraRS","mutSL glpP","SACOL1316","USA300HOU_1228","mutL",-1.91,0.27,"DNA mismatch repair protein MutL"
"Cell wall biosynthesis","GraRS","mutSL glpP","SACOL1317","USA300HOU_1229","glpP",-1.8,0.29,"glycerol uptake operon antiterminator"
"Cell wall biosynthesis","GraRS","nhaC SACOL0947","SACOL0946","USA300HOU_0903","yuiF",-0.74,0.6,"NhaC family sodium:proton (Na :H ) antiporter"
"Cell wall biosynthesis","GraRS","nhaC SACOL0947","SACOL0947","USA300HOU_0904","USA300HOU_0904",-0.23,0.85,"hypothetical protein"
"Cell wall biosynthesis","GraRS","nptA","SACOL0088","USA300HOU_0116","nptA",-3.46,0.09,"possible PnaS family phosphate:sodium (Na+) symporter"
"Cell wall biosynthesis","GraRS","opp-2FDCB","SACOL1414","USA300HOU_1313","opp-2F",-0.01,0.99,"oligopeptide ABC transporter,  ATP-binding protein"
"Cell wall biosynthesis","GraRS","opp-2FDCB","SACOL1415","USA300HOU_1314","opp-2D",-0.67,0.63,"oligopeptide ABC transporter,  ATP-binding protein"
"Cell wall biosynthesis","GraRS","opp-2FDCB","SACOL1416","USA300HOU_1315","opp-2C",-0.62,0.65,"oligopeptide ABC transporter, membrane protein"
"Cell wall biosynthesis","GraRS","opp-2FDCB","SACOL1417","USA300HOU_1316","opp-2B",-0.42,0.75,"oligopeptide ABC transporter, membrane protein"
"Cell wall biosynthesis","GraRS","opuBA opuBB","SACOL0781","USA300HOU_0745","opuBA",1.48,2.8,"glycine/betaine/carnitine/choline ABC transporter, ATP-binding protein"
"Cell wall biosynthesis","GraRS","opuBA opuBB","SACOL0783","USA300HOU_0746","opuBB",1.92,3.79,"glycine betaine/carnitine/choline ABC transporter, membrane protein"
"Cell wall biosynthesis","GraRS","opuCD opuCC opuCB opuCA","SACOL2450","USA300HOU_2434","opuCD",0.96,1.94,"glycine betaine/L-proline ABC transporter, membrane protein"
"Cell wall biosynthesis","GraRS","opuCD opuCC opuCB opuCA","SACOL2451","USA300HOU_2435","opuCC",0.78,1.72,"glycine betaine/L-proline ABC transporter, binding protein"
"Cell wall biosynthesis","GraRS","opuCD opuCC opuCB opuCA","SACOL2452","USA300HOU_2436","opuCB",0.95,1.93,"glycine betaine/choline ABC transporter, membrane protein"
"Cell wall biosynthesis","GraRS","opuCD opuCC opuCB opuCA","SACOL2453","USA300HOU_2437","opuCA",0.5,1.42,"glycine betaine/choline ABC transporter,  ATP-binding protein"
"Cell wall biosynthesis","GraRS","pbuG","SACOL2242","USA300HOU_2234","pbuG",-3.05,0.12,"NCS2 family nucleobase:cation symporter-2"
"Cell wall biosynthesis","GraRS","pdp","SACOL2128","USA300HOU_2125","pdp",2.88,7.36,"pyrimidine nucleoside phosphorylase"
"Cell wall biosynthesis","GraRS","phnE1 phnE2 phnC phnD","SACOL0125","USA300HOU_0152","phnE1",-1.19,0.44,"phosphonate ABC transporter, permease"
"Cell wall biosynthesis","GraRS","phnE1 phnE2 phnC phnD","SACOL0126","USA300HOU_0153","phnE2",-0.46,0.73,"phosphonate ABC transporter, permease"
"Cell wall biosynthesis","GraRS","phnE1 phnE2 phnC phnD","SACOL0127","USA300HOU_0154","phnC",-1.05,0.48,"phosphonate ABC transporter, ATP-binding protein"
"Cell wall biosynthesis","GraRS","phnE1 phnE2 phnC phnD","SACOL0128","USA300HOU_0155","phnD",-0.76,0.59,"phosphonate ABC transporter, phosphonate-binding protein"
"Cell wall biosynthesis","GraRS","radA pilT","SACOL0572","USA300HOU_0519","radA",1.64,3.11,"DNA repair protein RadA"
"Cell wall biosynthesis","GraRS","radA pilT","SACOL0573","USA300HOU_0520","pilT",0.81,1.75,"Integral membrane protein (PIN domain superfamily)"
"Cell wall biosynthesis","GraRS","rot","SACOL1812","USA300HOU_1753","rot",1.22,2.33,"repressor of toxins Rot"
"Cell wall biosynthesis","GraRS","rseP proS","SACOL1281","USA300HOU_1194","rseP",-0.69,0.62,"membrane-associated zinc metalloprotease"
"Cell wall biosynthesis","GraRS","rseP proS","SACOL1282","USA300HOU_1195","proS",-0.56,0.68,"proline--tRNA ligase"
"Cell wall biosynthesis","GraRS","SACOL0077","SACOL0077","USA300HOU_0107","USA300HOU_0107",-1.19,0.44,"hypothetical membrane protein"
"Cell wall biosynthesis","GraRS","SACOL0152 SACOL0153","SACOL0153","USA300HOU_0180","USA300HOU_0180",2.87,7.33,"hypothetical membrane protein"
"Cell wall biosynthesis","GraRS","SACOL0166","SACOL0166","USA300HOU_0194","USA300HOU_0194",-2.72,0.15,"hypothetical membrane protein"
"Cell wall biosynthesis","GraRS","SACOL0259","SACOL0259","USA300HOU_0285","USA300HOU_0285",-1.61,0.33,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL0264 SACOL0265 SACOL0266 SACOL0267","SACOL0264","USA300HOU_0290","USA300HOU_0290",-2.73,0.15,"ABC transporter,  ATP-binding protein"
"Cell wall biosynthesis","GraRS","SACOL0264 SACOL0265 SACOL0266 SACOL0267","SACOL0265","USA300HOU_0291","USA300HOU_0291",-2.94,0.13,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL0264 SACOL0265 SACOL0266 SACOL0267","SACOL0266","USA300HOU_0292","USA300HOU_0292",-3.85,0.07,"hypothetical membrane protein"
"Cell wall biosynthesis","GraRS","SACOL0264 SACOL0265 SACOL0266 SACOL0267","SACOL0267","USA300HOU_0293","USA300HOU_0293",-4.08,0.06,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL0283","SACOL0283","USA300HOU_0309","USA300HOU_0309",-1.47,0.36,"hypothetical membrane protein"
"Cell wall biosynthesis","GraRS","SACOL0300","SACOL0300","USA300HOU_0323","USA300HOU_0323",-1.2,0.43,"hypothetical membrane protein"
"Cell wall biosynthesis","GraRS","SACOL0352 - SACOL0356 dut","SACOL0357","USA300HOU_1980","dut",1.58,2.98,"deoxyuridine 5'-triphosphate nucleotidohydrolase"
"Cell wall biosynthesis","GraRS","SACOL0466 SACOL0467","SACOL0466","USA300HOU_0420","USA300HOU_0420",4.93,30.4,"hypothetical membrane protein"
"Cell wall biosynthesis","GraRS","SACOL0466 SACOL0467","SACOL0467","USA300HOU_0421","USA300HOU_0421",4.98,31.51,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL0508","SACOL0508","USA300HOU_0466","USA300HOU_0466",1.08,2.11,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL0511 SACOL0512","SACOL0511","USA300HOU_0469","USA300HOU_0469",-0.62,0.65,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL0511 SACOL0512","SACOL0512","USA300HOU_0470","USA300HOU_0470",-0.76,0.59,"hypothetical membrane protein"
"Cell wall biosynthesis","GraRS","SACOL0606 azo1","SACOL0606","USA300HOU_0553","USA300HOU_0553",-2.84,0.14,"hydrolase"
"Cell wall biosynthesis","GraRS","SACOL0606 azo1","SACOL0607","USA300HOU_0554","azo1",-1.27,0.42,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL0849 SACOL0850","SACOL0849","USA300HOU_0813","USA300HOU_0813",-1.76,0.29,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL0849 SACOL0850","SACOL0850","USA300HOU_0814","USA300HOU_0814",-1.64,0.32,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL0851","SACOL0851","USA300HOU_0815","USA300HOU_0815",-1.93,0.26,"hypothetical lipoprotein"
"Cell wall biosynthesis","GraRS","SACOL1225","SACOL1225","USA300HOU_1151","USA300HOU_1151",-1.8,0.29,"hypothetical lipoprotein"
"Cell wall biosynthesis","GraRS","SACOL1333","SACOL1333","USA300HOU_1243","USA300HOU_1243",-2.24,0.21,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL1456 crr","SACOL1456","USA300HOU_1358","USA300HOU_1358",1.95,3.87,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL1456 crr","SACOL1457","USA300HOU_1359","crr",1.92,3.79,"PTS family glucose/glucoside (glc) porter component IIA"
"Cell wall biosynthesis","GraRS","SACOL1902 SACOL1903","SACOL1902","USA300HOU_1838","USA300HOU_1838",0.86,1.81,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL1902 SACOL1903","SACOL1903","USA300HOU_1839","USA300HOU_1839",-2.3,0.2,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL2127","SACOL2127","USA300HOU_2124","USA300HOU_2124",3.08,8.48,"hypothetical membrane protein"
"Cell wall biosynthesis","GraRS","SACOL2196","SACOL2196","USA300HOU_2199","USA300HOU_2199",2.31,4.97,"possible HAD superfamily hydrolase"
"Cell wall biosynthesis","GraRS","SACOL2343 SACOL2344","SACOL2343","USA300HOU_2329","USA300HOU_2329",1.72,3.29,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL2343 SACOL2344","SACOL2344","USA300HOU_2330","USA300HOU_2330",1.72,3.3,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL2406 dsbA SACOL2408","SACOL2406","USA300HOU_2389","USA300HOU_2389",-1.13,0.46,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL2406 dsbA SACOL2408","SACOL2407","USA300HOU_2390","dsbA",-1.94,0.26,"possible lipoprotein"
"Cell wall biosynthesis","GraRS","SACOL2406 dsbA SACOL2408","SACOL2408","USA300HOU_2391","USA300HOU_2391",-2.12,0.23,"possible lipoprotein"
"Cell wall biosynthesis","GraRS","SACOL2477 fmrO dapF","SACOL2477","USA300HOU_2459","USA300HOU_2459",7,127.99,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL2477 fmrO dapF","SACOL2478","USA300HOU_2460","fmrO",7.86,232.96,"rRNA methyltransferase FmrO"
"Cell wall biosynthesis","GraRS","SACOL2477 fmrO dapF","SACOL2479","USA300HOU_2461","dapF",8.3,314.6,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SACOL2522","SACOL2522","USA300HOU_2500","USA300HOU_2500",1.48,2.79,"alkaline phosphatase"
"Cell wall biosynthesis","GraRS","SACOL2582","SACOL2582","USA300HOU_2562","USA300HOU_2562",-3.06,0.12,"possible acetyltransferase"
"Cell wall biosynthesis","GraRS","SACOL2706","SACOL2706","USA300HOU_2684","USA300HOU_2684",1.85,3.61,"hypothetical protein"
"Cell wall biosynthesis","GraRS","SCIN_2","SACOL0208","USA300HOU_0237","SCIN_2",-1.86,0.28,"hypothetical protein"
"Cell wall biosynthesis","GraRS","sdrE","SACOL0610","USA300HOU_0557","sdrE",-2.41,0.19,"sdrE protein"
"Cell wall biosynthesis","GraRS","secA","SACOL0816","USA300HOU_0780","secA",1.43,2.7,"Sec Type I general secretory pathway preprotein translocase subunit SecA"
"Cell wall biosynthesis","GraRS","sle1","SACOL0507","USA300HOU_0465","sle1",-2.42,0.19,"possible LysM family autolysin"
"Cell wall biosynthesis","GraRS","ssaA","SACOL0270","USA300HOU_0296","ssaA",-2.71,0.15,"secretory antigen precursor SsaA"
"Cell wall biosynthesis","GraRS","sucC sucD","SACOL1262","USA300HOU_1176","sucC",3.55,11.7,"succinate--CoA ligase (ADP-forming) beta subunit"
"Cell wall biosynthesis","GraRS","sucC sucD","SACOL1263","USA300HOU_1177","sucD",3.7,12.98,"succinate--CoA ligase (ADP-forming) alpha subunit"
"Cell wall biosynthesis","GraRS","traP","SACOL1891","USA300HOU_1827","traP",2.09,4.26,"RNAIII-activating protein TRAP"
"Cell wall biosynthesis","GraRS","trxA_6 SACOL2551","SACOL2550","USA300HOU_2526","trxA_6",4.65,25.15,"possible thioredoxin"
"Cell wall biosynthesis","GraRS","trxA_6 SACOL2551","SACOL2551","USA300HOU_2527","USA300HOU_2527",4.7,26.04,"possible thioesterase"
"Cell wall biosynthesis","GraRS","ureABCEFGD","SACOL2280","USA300HOU_2269","ureA",1.79,3.45,"urease gamma subunit"
"Cell wall biosynthesis","GraRS","ureABCEFGD","SACOL2281","USA300HOU_2270","ureB",1.68,3.2,"urease beta subunit"
"Cell wall biosynthesis","GraRS","ureABCEFGD","SACOL2282","USA300HOU_2271","ureC",0.77,1.71,"urease alpha subunit"
"Cell wall biosynthesis","GraRS","ureABCEFGD","SACOL2283","USA300HOU_2272","ureE",1.28,2.43,"urease accessory protein UreE"
"Cell wall biosynthesis","GraRS","ureABCEFGD","SACOL2284","USA300HOU_2273","ureF",1.36,2.56,"urease accessory protein UreF"
"Cell wall biosynthesis","GraRS","ureABCEFGD","SACOL2285","USA300HOU_2274","ureG",1.29,2.45,"urease accessory protein UreG"
"Cell wall biosynthesis","GraRS","ureABCEFGD","SACOL2286","USA300HOU_2275","ureD",1.36,2.57,"urease accessory protein UreD"
"Cell wall biosynthesis","GraRS","walRKHI","SACOL0019","USA300HOU_0018","walR",1.15,2.22,"response regulator VicR"
"Cell wall biosynthesis","GraRS","walRKHI","SACOL0020","USA300HOU_0019","walK",1.19,2.29,"sensor histidine kinase VicK"
"Cell wall biosynthesis","GraRS","walRKHI","SACOL0021","USA300HOU_0020","walH",1.09,2.12,"hypothetical protein YycH"
"Cell wall biosynthesis","GraRS","walRKHI","SACOL0022","USA300HOU_0021","walI",0.92,1.89,"hypothetical protein YycI"
"Cell wall biosynthesis","GraRS","xerC hslV hslU codY","SACOL1269","USA300HOU_1183","xerC",0.69,1.62,"tyrosine recombinase XerC"
"Cell wall biosynthesis","GraRS","xerC hslV hslU codY","SACOL1270","USA300HOU_1184","hslV",0.81,1.75,"T01 family HslV component of HsIUV peptidase"
"Cell wall biosynthesis","GraRS","xerC hslV hslU codY","SACOL1271","USA300HOU_1185","hslU",1.1,2.15,"T01 family HslU component of HsIUV peptidase"
"Cell wall biosynthesis","GraRS","xerC hslV hslU codY","SACOL1272","USA300HOU_1186","codY",1.5,2.83,"CodY family transcriptional regulator"
"Cell wall biosynthesis","GraRS","xpaC telA","SACOL1440","USA300HOU_1338","xpaC",1.73,3.33,"5-bromo-4-chloroindolyl phosphate hydrolase"
"Cell wall biosynthesis","GraRS","xpaC telA","SACOL1441","USA300HOU_1339","telA",1.97,3.91,"toxic anion resistance protein TelA"
"Cell wall biosynthesis","GraRS","yhfP","SACOL2367","USA300HOU_2353","yhfP",1.46,2.76,"zinc-binding alcohol dehydrogenase"
"Cell wall biosynthesis","GraRS","yitW","SACOL0977","USA300HOU_0931","yitW",2.61,6.11,"hypothetical protein"
"Cell wall biosynthesis","GraRS","yjbM hbo","SACOL1006","USA300HOU_0959","yjbM",0.77,1.7,"hypothetical protein"
"Cell wall biosynthesis","GraRS","yjbM hbo","SACOL1007","USA300HOU_0960","hbo",0.19,1.14,"globin family protein"
"Cell wall biosynthesis","GraRS","ywqN","SACOL0656","USA300HOU_0607","ywqN",2.76,6.76,"putative flavodoxin"
"Cell wall biosynthesis","GraRS","zwf","SACOL1549","USA300HOU_1507","zwf",1.74,3.35,"glucose-6-phosphate 1-dehydrogenase"
"DNA damage","LexA","dinB2","SACOL1400","USA300HOU_1299","dinB2",4.29,19.59,"ImpB/MucB/SamB family DNA-damage repair protein"
"DNA damage","LexA","queF SACOL0790","SACOL0789","USA300HOU_0752","queF",-2,0.25,"7-cyano-7-deazaguanine reductase"
"DNA damage","LexA","queF SACOL0790","SACOL0790","USA300HOU_0753","USA300HOU_0753",-2.55,0.17,"integral membrane domain-containing protein"
"DNA damage","LexA","recA","SACOL1304","USA300HOU_1217","recA",2.12,4.35,"recombinase A"
"DNA damage","LexA","uvrB uvrA","SACOL0823","USA300HOU_0786","uvrB",1.74,3.35,"excinuclease ABC subunit B"
"DNA damage","LexA","uvrB uvrA","SACOL0824","USA300HOU_0787","uvrA",2.15,4.45,"excinuclease ABC subunit A"
"Energy metabolism","CggR","gapR gap pgk tpiA pgm eno","SACOL0837","USA300HOU_0801","gapR",-1,0.5,"DeoR family transcriptional regulator"
"Energy metabolism","CggR","gapR gap pgk tpiA pgm eno","SACOL0838","USA300HOU_0802","gap",0.33,1.25,"glyceraldehyde-3-phosphate dehydrogenase (phosphorylating)"
"Energy metabolism","CggR","gapR gap pgk tpiA pgm eno","SACOL0839","USA300HOU_0803","pgk",1.13,2.19,"phosphoglycerate kinase"
"Energy metabolism","CggR","gapR gap pgk tpiA pgm eno","SACOL0840","USA300HOU_0804","tpiA",1.12,2.17,"triose-phosphate isomerase"
"Energy metabolism","CggR","gapR gap pgk tpiA pgm eno","SACOL0841","USA300HOU_0805","pgm",1.06,2.08,"bisphosphoglycerate mutase"
"Energy metabolism","CggR","gapR gap pgk tpiA pgm eno","SACOL0842","USA300HOU_0806","eno",1.49,2.81,"phosphopyruvate hydratase"
"Energy metabolism","PDH","pdhA pdhB pdhC pdhD","SACOL1102","USA300HOU_1036","pdhA",0.99,1.99,"pyruvate dehydrogenase (acetyl-transferring) alpha subunit"
"Energy metabolism","PDH","pdhA pdhB pdhC pdhD","SACOL1103","USA300HOU_1037","pdhB",1.07,2.1,"pyruvate dehydrogenase (acetyl-transferring) beta subunit"
"Energy metabolism","PDH","pdhA pdhB pdhC pdhD","SACOL1104","USA300HOU_1038","pdhC",1.11,2.16,"dihydrolipoyllysine-residue acetyltransferase"
"Energy metabolism","PDH","pdhA pdhB pdhC pdhD","SACOL1105","USA300HOU_1039","pdhD",1.24,2.37,"dihydrolipoyl dehydrogenase"
"Fatty acid biosynthesis","FapR","fabHF","SACOL0987","USA300HOU_0941","fabH",-1.98,0.25,"3-oxoacyl-[acyl-carrier-protein] synthase"
"Fatty acid biosynthesis","FapR","fabHF","SACOL0988","USA300HOU_0942","fab",-0.4,0.76,"3-oxoacyl-[acyl-carrier-protein] synthase"
"Fatty acid biosynthesis","FapR","fapR plsX fabDG","SACOL1242","USA300HOU_1164","fapR",-0.64,0.64,"hypothetical protein"
"Fatty acid biosynthesis","FapR","fapR plsX fabDG","SACOL1243","USA300HOU_1165","plsX",-0.53,0.69,"fatty acid/phospholipid synthesis protein"
"Fatty acid biosynthesis","FapR","fapR plsX fabDG","SACOL1244","USA300HOU_1166","fabD",-0.38,0.77,"[acyl-carrier-protein] S-malonyltransferase"
"Fatty acid biosynthesis","FapR","fapR plsX fabDG","SACOL1245","USA300HOU_1167","fabG",-0.18,0.88,"3-oxoacyl-[acyl-carrier-protein] reductase"
"LMW thiols","BSH","brxC","SACOL0804","USA300HOU_0768","brxC",-2.01,0.25,"bacillredoxin YtxJ"
"LMW thiols","BSH","bshC","SACOL1190","USA300HOU_1117","bshC",1.99,3.97,"bacillithiol biosynthesis cysteine-adding enzyme BshC"
"LMW thiols","BSH","dinG birA papS bshA","SACOL1495","USA300HOU_1393","dinG",0.48,1.39,"DNA-directed DNA polymerase III epsilon subunit"
"LMW thiols","BSH","dinG birA papS bshA","SACOL1496","USA300HOU_1394","birA",0.55,1.46,"biotin--[acetyl-CoA-carboxylase] ligase/biotin operon transcriptional regulator"
"LMW thiols","BSH","dinG birA papS bshA","SACOL1497","USA300HOU_1395","papS",0.97,1.95,"polynucleotide adenylyltransferase"
"LMW thiols","BSH","dinG birA papS bshA","SACOL1498","USA300HOU_1396","bshA",0.92,1.89,"glycosyltransferase"
"LMW thiols","BSH","SACOL0613 bshB folE2","SACOL0614","USA300HOU_0561","bshB",1.03,2.04,"bacillithiol biosynthesis deacetylase BshB2"
"LMW thiols","BSH","SACOL1557 brxB ","SACOL1557","USA300HOU_1515","USA300HOU_1515",1.03,2.04,"hypothetical protein"
"LMW thiols","BSH","SACOL1557 brxB ","SACOL1558","USA300HOU_1516","brxB",1.1,2.15,"bacillredoxin BrxB"
"LMW thiols","BSH","ypdA","SACOL1520","USA300HOU_1417","ypdA",1.55,2.93,"putative bacillithiol system oxidoreductase, YpdA family"
"LMW thiols","CymR","caiA","SACOL2278","USA300HOU_2267","caiA",4.33,20.05,"acyl-CoA dehydrogenase"
"LMW thiols","CymR","cysJ-cysG","SACOL2638","USA300HOU_2617","cysG",1.28,2.42,"possible sirohydrochlorin ferrochelatase"
"LMW thiols","CymR","cysJ-cysG","SACOL2639","USA300HOU_2618","cysJ",0.89,1.86,"sulfite reductase (NADPH) alpha subunit"
"LMW thiols","CymR","cysK","SACOL0557","USA300HOU_0507","cysK",2.8,6.98,"cysteine synthase"
"LMW thiols","CymR","metN1-SACOL0505-SACOL0506","SACOL0506","USA300HOU_0464","USA300HOU_0464",2.9,7.47,"ABC transporter, binding protein"
"LMW thiols","CymR","oppF_2","SACOL0184","USA300HOU_0212","oppF_2",2.42,5.34,"oligopeptide ABC transporter, ATP-binding protein"
"LMW thiols","CymR","SACOL2033 yedE","SACOL2034","USA300HOU_2042","yedE",2.75,6.73,"hypothetical membrane protein"
"LMW thiols","CymR","srpF","SACOL0157","USA300HOU_0184","srpF",3.62,12.28,"hypothetical protein"
"LMW thiols","CymR","tcyABC","SACOL2410","USA300HOU_2393","tcyC",2.48,5.59,"ABC transporter,  ATP-binding protein"
"LMW thiols","CymR","tcyABC","SACOL2411","USA300HOU_2394","tcyB",2.34,5.05,"ABC transporter, membrane protein"
"LMW thiols","CymR","tcyABC","SACOL2412","USA300HOU_2395","tcyA",2.1,4.28,"amino acid ABC transporter, binding protein"
"LMW thiols","CymR","tcyP","SACOL0454","USA300HOU_0406","tcyP",3.48,11.18,"DAACS family dicarboxylate/amino acid:sodium (Na+) or proton (H+) symporter"
"Nucleotide biosynthesis","NrdR","nrdDG","SACOL2634","USA300HOU_2613","nrdG",-0.56,0.68,"anaerobic ribonucleotide reductase small subunit"
"Nucleotide biosynthesis","NrdR","nrdDG","SACOL2635","USA300HOU_2614","nrdD",-1.16,0.45,"anaerobic ribonucleotide reductase large subunit"
"Nucleotide biosynthesis","PurR","folD","SACOL1072","USA300HOU_1008","folD",2.05,4.16,"methylene-THF dehydrogenase (NADP(+))/methenyltetrahydrofolate cyclohydrolase"
"Nucleotide biosynthesis","PurR","purA","SACOL0018","USA300HOU_0017","purA",-4.07,0.06,"adenylosuccinate synthase"
"Nucleotide biosynthesis","PurR","purB","SACOL1969","USA300HOU_1909","purB",-2.6,0.16,"adenylosuccinate lyase"
"Nucleotide biosynthesis","PurR","purEKCSQLFMNHD","SACOL1073","USA300HOU_1009","purE",-4.02,0.06,"5-(carboxyamino)imidazole ribonucleotide mutase"
"Nucleotide biosynthesis","PurR","purEKCSQLFMNHD","SACOL1074","USA300HOU_1010","purK",-4.22,0.05,"5-(carboxyamino)imidazole ribonucleotide synthase"
"Nucleotide biosynthesis","PurR","purEKCSQLFMNHD","SACOL1075","USA300HOU_1011","purC",-4.22,0.05,"phosphoribosylaminoimidazolesuccinocarboxamide synthase"
"Nucleotide biosynthesis","PurR","purEKCSQLFMNHD","SACOL1076","USA300HOU_1012","purS",-4.25,0.05,"phosphoribosylformylglycinamidine synthase"
"Nucleotide biosynthesis","PurR","purEKCSQLFMNHD","SACOL1077","USA300HOU_1013","purQ",-4.06,0.06,"phosphoribosylformylglycinamidine synthase subunit I"
"Nucleotide biosynthesis","PurR","purEKCSQLFMNHD","SACOL1078","USA300HOU_1014","purL",-4.02,0.06,"phosphoribosylformylglycinamidine synthase subunit II"
"Nucleotide biosynthesis","PurR","purEKCSQLFMNHD","SACOL1079","USA300HOU_1015","purF",-3.95,0.06,"amidophosphoribosyltransferase"
"Nucleotide biosynthesis","PurR","purEKCSQLFMNHD","SACOL1080","USA300HOU_1016","purM",-3.93,0.07,"phosphoribosylformylglycinamidine cyclo-ligase"
"Nucleotide biosynthesis","PurR","purEKCSQLFMNHD","SACOL1082","USA300HOU_1017","purH",-3.74,0.07,"phosphoribosylaminoimidazolecarboxamide formyltransferase/IMP cyclohydrolase"
"Nucleotide biosynthesis","PurR","purEKCSQLFMNHD","SACOL1083","USA300HOU_1018","purD",-3.37,0.1,"phosphoribosylamine--glycine ligase"
"Nucleotide biosynthesis","PyrR","uraA pyrB pyrC carA carB pyrF pyrE SACOL1218","SACOL1211","USA300HOU_1137","uraA",-5.24,0.03,"NCS family uracil:cation symporter"
"Nucleotide biosynthesis","PyrR","uraA pyrB pyrC carA carB pyrF pyrE SACOL1218","SACOL1212","USA300HOU_1138","pyrB",-4.53,0.04,"aspartate carbamoyltransferase"
"Nucleotide biosynthesis","PyrR","uraA pyrB pyrC carA carB pyrF pyrE SACOL1218","SACOL1213","USA300HOU_1139","pyrC",-4.54,0.04,"dihydroorotase"
"Nucleotide biosynthesis","PyrR","uraA pyrB pyrC carA carB pyrF pyrE SACOL1218","SACOL1214","USA300HOU_1140","carA",-4.28,0.05,"carbamoyl-phosphate synthase (glutamine-hydrolyzing), small subunit"
"Nucleotide biosynthesis","PyrR","uraA pyrB pyrC carA carB pyrF pyrE SACOL1218","SACOL1215","USA300HOU_1141","carB",-4.25,0.05,"carbamoyl-phosphate synthase (glutamine-hydrolyzing), large subunit"
"Nucleotide biosynthesis","PyrR","uraA pyrB pyrC carA carB pyrF pyrE SACOL1218","SACOL1216","USA300HOU_1142","pyrF",-4.28,0.05,"orotidine-5'-phosphate decarboxylase"
"Nucleotide biosynthesis","PyrR","uraA pyrB pyrC carA carB pyrF pyrE SACOL1218","SACOL1217","USA300HOU_1143","pyrE",-3.96,0.06,"orotate phosphoribosyltransferase"
"Nucleotide biosynthesis","PyrR","uraA pyrB pyrC carA carB pyrF pyrE SACOL1218","SACOL1218","USA300HOU_1144","USA300HOU_1144",-3.19,0.11,"hypothetical protein"
"Protein folding","CtsR","clpB","SACOL0979","USA300HOU_0933","clpB",6.69,103.2,"S14 family endopeptidase ClpB"
"Protein folding","CtsR","clpP","SACOL0833","USA300HOU_0797","clpP",5.58,47.85,"S14 family endopeptidase ClpP"
"Protein folding","CtsR","ctsR mcsA mcsB clpC","SACOL0567","USA300HOU_0515","ctsR",7,128.39,"CtsR family transcriptional regulator"
"Protein folding","CtsR","ctsR mcsA mcsB clpC","SACOL0568","USA300HOU_0516","mcsA",7.24,151.05,"hypothetical protein"
"Protein folding","CtsR","ctsR mcsA mcsB clpC","SACOL0569","USA300HOU_0517","mcsB",7.16,142.98,"ATP:guanido phosphotransferase"
